iter res
1.000000000000000000e+00 1.252036468974071741e+07
2.000000000000000000e+00 1.929951360038850224e+06
3.000000000000000000e+00 1.713770613792294171e+03
4.000000000000000000e+00 2.122358041547112748e+02
5.000000000000000000e+00 4.654725369930091716e+01
6.000000000000000000e+00 4.555392139247969396e+01
7.000000000000000000e+00 4.555304758074337457e+01
8.000000000000000000e+00 4.510775991659701845e+01
9.000000000000000000e+00 4.484344197429116718e+01
1.000000000000000000e+01 3.539128785300596292e+01
1.100000000000000000e+01 6.733766002484113500e+00
1.200000000000000000e+01 2.796098913999849778e+00
1.300000000000000000e+01 1.775452069596161087e+00
1.400000000000000000e+01 1.665674524152911395e+00
1.500000000000000000e+01 1.421937201468880696e+00
1.600000000000000000e+01 1.325809716207784206e+00
1.700000000000000000e+01 1.067172994773488259e+00
1.800000000000000000e+01 6.188008147295455119e-01
1.900000000000000000e+01 3.762966100827420668e-01
2.000000000000000000e+01 3.021945225526381229e-01
2.100000000000000000e+01 2.278305973949320273e-01
2.200000000000000000e+01 1.318137220319066660e-01
2.300000000000000000e+01 8.236013704124436896e-02
2.400000000000000000e+01 5.791653231081765607e-02
2.500000000000000000e+01 4.205812241962650355e-02
2.600000000000000000e+01 2.459745331272320673e-02
2.700000000000000000e+01 1.730304432777552553e-02
2.800000000000000000e+01 1.547231256670609546e-02
2.900000000000000000e+01 1.380846384944307836e-02
3.000000000000000000e+01 1.147340272820536466e-02
3.100000000000000000e+01 1.089483322186749967e-02
3.200000000000000000e+01 9.982156397876130322e-03
3.300000000000000000e+01 9.322748047852274719e-03
3.400000000000000000e+01 7.808373941207587092e-03
3.500000000000000000e+01 5.717110177560351912e-03
3.600000000000000000e+01 4.844060461732816771e-03
3.700000000000000000e+01 4.439958463629450729e-03
3.800000000000000000e+01 3.921430090524174149e-03
3.900000000000000000e+01 3.200895349755855830e-03
4.000000000000000000e+01 2.292543262334951690e-03
4.100000000000000000e+01 1.825320393128797595e-03
4.200000000000000000e+01 1.687298875344929840e-03
4.300000000000000000e+01 1.570117528854626321e-03
4.400000000000000000e+01 1.366036456451354521e-03
4.500000000000000000e+01 1.097646935575640696e-03
4.600000000000000000e+01 1.018544357264866262e-03
4.700000000000000000e+01 9.663458822320561458e-04
4.800000000000000000e+01 8.909295295057765131e-04
4.900000000000000000e+01 7.930917738618847293e-04
5.000000000000000000e+01 7.362651035724141532e-04
5.100000000000000000e+01 7.014816401148486064e-04
5.200000000000000000e+01 5.230286543478082856e-04
5.300000000000000000e+01 4.173558966573448405e-04
5.400000000000000000e+01 3.767885290906202995e-04
5.500000000000000000e+01 3.319038675148447198e-04
5.600000000000000000e+01 2.965900308770172563e-04
5.700000000000000000e+01 2.519182058586591218e-04
5.800000000000000000e+01 2.231516448089245353e-04
5.900000000000000000e+01 1.910243895872410815e-04
6.000000000000000000e+01 1.573249129898778183e-04
6.100000000000000000e+01 1.482149216917133224e-04
6.200000000000000000e+01 1.399074500794711840e-04
6.300000000000000000e+01 1.293371650273249609e-04
6.400000000000000000e+01 1.092183171430723392e-04
6.500000000000000000e+01 9.234445326715745909e-05
6.600000000000000000e+01 7.732278757932318559e-05
6.700000000000000000e+01 6.774408572079857653e-05
6.800000000000000000e+01 6.378023555029738233e-05
6.900000000000000000e+01 5.976871745165193575e-05
7.000000000000000000e+01 5.248197734856751586e-05
7.100000000000000000e+01 4.393652688540767974e-05
7.200000000000000000e+01 3.635196385790104306e-05
7.300000000000000000e+01 3.014791893160293835e-05
7.400000000000000000e+01 2.492793884480195015e-05
7.500000000000000000e+01 2.187533802323230893e-05
7.600000000000000000e+01 1.888578041117695182e-05
7.700000000000000000e+01 1.684344054710180762e-05
7.800000000000000000e+01 1.484766720426986405e-05
7.900000000000000000e+01 1.243460375416024443e-05
8.000000000000000000e+01 1.104239041797770367e-05
8.100000000000000000e+01 9.370604709961343162e-06
8.200000000000000000e+01 8.131802279486733209e-06
8.300000000000000000e+01 6.750898217952601858e-06
8.400000000000000000e+01 4.846209927515322546e-06
8.500000000000000000e+01 4.209853757189838709e-06
8.600000000000000000e+01 3.599326607627347386e-06
8.700000000000000000e+01 2.869285780661552509e-06
8.800000000000000000e+01 2.521315654290006861e-06
8.900000000000000000e+01 2.004495972557021819e-06
9.000000000000000000e+01 1.781867330879117824e-06
9.100000000000000000e+01 1.540515564432317816e-06
9.200000000000000000e+01 1.290093702904696583e-06
9.300000000000000000e+01 1.146698948359319383e-06
9.400000000000000000e+01 8.985414076286996367e-07
9.500000000000000000e+01 8.578360817745796370e-07
9.600000000000000000e+01 7.555092244438147821e-07
9.700000000000000000e+01 6.220625526058461844e-07
9.800000000000000000e+01 4.424877430415623241e-07
9.900000000000000000e+01 3.873792445953936753e-07
1.000000000000000000e+02 3.001694410696737582e-07
1.010000000000000000e+02 2.654158943232062115e-07
1.020000000000000000e+02 2.216482212080960451e-07
1.030000000000000000e+02 2.092843040841596062e-07
1.040000000000000000e+02 1.887403289768105245e-07
1.050000000000000000e+02 1.272167759978210094e-07
1.060000000000000000e+02 9.970175507678517747e-08
