iter res
1.000000000000000000e+00 9.135254694303486644e+01
2.000000000000000000e+00 5.369640309707694570e+01
3.000000000000000000e+00 5.018125486648059574e-01
4.000000000000000000e+00 4.674719836670637174e-01
5.000000000000000000e+00 4.107918215372471371e-01
6.000000000000000000e+00 2.523906069656356443e-01
7.000000000000000000e+00 2.151353685962102136e-01
8.000000000000000000e+00 1.787170127912852124e-01
9.000000000000000000e+00 1.648443470925709531e-01
1.000000000000000000e+01 8.466978512632356013e-02
1.100000000000000000e+01 6.687976404408943476e-02
1.200000000000000000e+01 6.025392893996910776e-02
1.300000000000000000e+01 3.876890321156233055e-02
1.400000000000000000e+01 2.609833409712488533e-02
1.500000000000000000e+01 2.466794745336524028e-02
1.600000000000000000e+01 2.429409979995603500e-02
1.700000000000000000e+01 2.426622794401963462e-02
1.800000000000000000e+01 2.426168956366537774e-02
1.900000000000000000e+01 2.422628132905913986e-02
2.000000000000000000e+01 2.333836770123422569e-02
2.100000000000000000e+01 2.203761437857840524e-02
2.200000000000000000e+01 1.899920291846244821e-02
2.300000000000000000e+01 1.829128270158213859e-02
2.400000000000000000e+01 1.691278455247555504e-02
2.500000000000000000e+01 1.240794382009209260e-02
2.600000000000000000e+01 1.173509007831382255e-02
2.700000000000000000e+01 1.166827486046346542e-02
2.800000000000000000e+01 1.163820338544833792e-02
2.900000000000000000e+01 1.140810688599852227e-02
3.000000000000000000e+01 1.091024048772967076e-02
3.100000000000000000e+01 1.039659226141754350e-02
3.200000000000000000e+01 9.889057331354306549e-03
3.300000000000000000e+01 8.061861264193486559e-03
3.400000000000000000e+01 6.005193631504698176e-03
3.500000000000000000e+01 4.660697654852235909e-03
3.600000000000000000e+01 4.633017526680427260e-03
3.700000000000000000e+01 4.436468069831523212e-03
3.800000000000000000e+01 3.818106409942673054e-03
3.900000000000000000e+01 3.629247147352604886e-03
4.000000000000000000e+01 3.313886761055193520e-03
4.100000000000000000e+01 2.680077667869934597e-03
4.200000000000000000e+01 2.344101083467621180e-03
4.300000000000000000e+01 2.233174179855855999e-03
4.400000000000000000e+01 2.101524917732978167e-03
4.500000000000000000e+01 2.034922907977717091e-03
4.600000000000000000e+01 1.885398697090482278e-03
4.700000000000000000e+01 1.676448142681354232e-03
4.800000000000000000e+01 1.527597993671670450e-03
4.900000000000000000e+01 1.457552046927375810e-03
5.000000000000000000e+01 1.445482401529588979e-03
5.100000000000000000e+01 1.415628487398143485e-03
5.200000000000000000e+01 1.390839646892086390e-03
5.300000000000000000e+01 1.312843970949003226e-03
5.400000000000000000e+01 1.257716963403046877e-03
5.500000000000000000e+01 1.094561457067631544e-03
5.600000000000000000e+01 1.079785128480536746e-03
5.700000000000000000e+01 9.903538961020328778e-04
5.800000000000000000e+01 8.317138502181841428e-04
5.900000000000000000e+01 6.959351676347067450e-04
6.000000000000000000e+01 5.820404420436657003e-04
6.100000000000000000e+01 4.960753763617986156e-04
6.200000000000000000e+01 4.382543685644554399e-04
6.300000000000000000e+01 3.585091893331297601e-04
6.400000000000000000e+01 3.096427987113249442e-04
6.500000000000000000e+01 2.902947631355087474e-04
6.600000000000000000e+01 2.695141946739575589e-04
6.700000000000000000e+01 2.511324951294817334e-04
6.800000000000000000e+01 2.453774514108005228e-04
6.900000000000000000e+01 2.215376203679213436e-04
7.000000000000000000e+01 1.795182244606614950e-04
7.100000000000000000e+01 1.526186033855209448e-04
7.200000000000000000e+01 1.488511062455063452e-04
7.300000000000000000e+01 1.477403447325832100e-04
7.400000000000000000e+01 1.477120385069480486e-04
7.500000000000000000e+01 1.394353246495855713e-04
7.600000000000000000e+01 1.239331797371735842e-04
7.700000000000000000e+01 1.008653364694190761e-04
7.800000000000000000e+01 8.991621039077536931e-05
7.900000000000000000e+01 8.764761174606074590e-05
8.000000000000000000e+01 8.209013119286468591e-05
8.100000000000000000e+01 7.599714129310023716e-05
